Product,State,n_months,prophet_mse,prophet_rmse,prophet_mae,prophet_mape,sarima_mse,sarima_rmse,sarima_mae,sarima_mape,chosen_model,notes
CHECKING OR SAVINGS ACCOUNT,AZ,60,,,,,31.287862160400238,5.593555413187594,4.5364193834406095,0.5732969846127133,SARIMA,
CHECKING OR SAVINGS ACCOUNT,CA,60,,,,,1412.7492377542947,37.58655660943543,31.304172130604286,0.778627130398557,SARIMA,
CHECKING OR SAVINGS ACCOUNT,CT,60,,,,,8.313219610856668,2.8832654423165183,2.343026900877987,1.2592589530679168,SARIMA,
CHECKING OR SAVINGS ACCOUNT,FL,60,,,,,752.9218713310621,27.439421847609363,22.88000809631068,0.7307745072705382,SARIMA,
CHECKING OR SAVINGS ACCOUNT,GA,60,,,,,192.32982542395348,13.868302903526208,10.354273786230985,0.5638376520468201,SARIMA,
CHECKING OR SAVINGS ACCOUNT,IL,60,,,,,197.35977369354615,14.048479408588893,11.677958799900344,1.040883952237098,SARIMA,
CHECKING OR SAVINGS ACCOUNT,MI,60,,,,,36.04486760461491,6.003737802787103,4.56971044416799,0.49981274238119017,SARIMA,
CHECKING OR SAVINGS ACCOUNT,NC,60,,,,,115.26928020125854,10.736353207735787,7.608382888264754,0.8807909363799435,SARIMA,
CHECKING OR SAVINGS ACCOUNT,NJ,60,,,,,82.62197424272755,9.08966304340967,7.349154057174732,1.060532901552783,SARIMA,
CHECKING OR SAVINGS ACCOUNT,NV,60,,,,,221.31579848966103,14.876686408258427,14.595273464153047,1.8189619554503913,SARIMA,
CHECKING OR SAVINGS ACCOUNT,NY,60,,,,,372.8372538080096,19.30899411693964,15.048377873480852,0.8924546083657288,SARIMA,
CHECKING OR SAVINGS ACCOUNT,OH,60,,,,,63.421566630101346,7.963765857312817,5.833333333333333,1.6471657984531973,SARIMA,
CHECKING OR SAVINGS ACCOUNT,PA,60,,,,,215.089319475902,14.66592375119624,10.635611358978664,1.3818200219700916,SARIMA,
CHECKING OR SAVINGS ACCOUNT,TX,60,,,,,535.6609091925789,23.1443494009354,19.1768838290529,0.6395156488753019,SARIMA,
CHECKING OR SAVINGS ACCOUNT,VA,60,,,,,95.21159449059773,9.757642875746054,8.180345869997995,1.3407933944065737,SARIMA,
DEBT COLLECTION,AL,60,,,,,184.31085954386586,13.576113565518884,10.6577521942238,1.1516964337237159,SARIMA,
DEBT COLLECTION,AZ,60,,,,,176.16652636721855,13.272773876142791,10.833333333333334,1.0795981134849564,SARIMA,
DEBT COLLECTION,CA,60,,,,,2368.542586811671,48.66767496821346,36.96878264189809,1.7855779628483794,SARIMA,
DEBT COLLECTION,CO,60,,,,,44.76479599722532,6.690649893487577,6.0,0.8231586192449553,SARIMA,
DEBT COLLECTION,CT,60,,,,,32.15758211287372,5.670765566735564,5.233551195008016,0.8288001036695478,SARIMA,
DEBT COLLECTION,FL,60,,,,,5862.356924352952,76.56602983277213,56.845920884685825,1.5790592013875429,SARIMA,
DEBT COLLECTION,GA,60,,,,,2778.967455230448,52.71591273259383,41.833333333333336,1.324502634236109,SARIMA,
DEBT COLLECTION,IL,60,,,,,1534.3333333333333,39.17056718166503,32.666666666666664,1.4096226794811493,SARIMA,
DEBT COLLECTION,IN,60,,,,,160.85596762571254,12.682900599851461,9.140351943579887,1.3319699158142153,SARIMA,
DEBT COLLECTION,LA,60,,,,,366.12374677235556,19.13436037008699,14.645864993248253,2.5376871134228,SARIMA,
DEBT COLLECTION,MA,60,,,,,66.2076037007712,8.136805497292608,6.185391594333081,1.4190974279548978,SARIMA,
DEBT COLLECTION,MD,60,,,,,223.7399398311779,14.9579390235145,11.95129815850567,0.6089194116844141,SARIMA,
DEBT COLLECTION,MI,60,,,,,523.9258469102725,22.88942653083018,18.490389719908062,1.4640937141401007,SARIMA,
DEBT COLLECTION,MO,60,,,,,230.70682228697592,15.189036252737562,11.952967841961282,1.6161294541726072,SARIMA,
DEBT COLLECTION,MS,60,,,,,103.4283164756276,10.169971311445652,8.272851523764396,1.2774812862256575,SARIMA,
DEBT COLLECTION,NC,60,,,,,654.4061644897287,25.581363616698166,21.394586925905205,0.9389629904675565,SARIMA,
DEBT COLLECTION,NJ,60,,,,,386.24915995494786,19.653222635357995,18.075682179482673,0.8549944679248019,SARIMA,
DEBT COLLECTION,NV,60,,,,,50.65027003991068,7.1169003112247315,5.501155763163564,1.3811864524000654,SARIMA,
DEBT COLLECTION,NY,60,,,,,879.3333333333334,29.65355515504563,21.666666666666668,1.966630476005476,SARIMA,
DEBT COLLECTION,OH,60,,,,,613.7067964152468,24.7731063134046,21.124288352822685,1.7223521292756672,SARIMA,
DEBT COLLECTION,PA,60,,,,,651.6666666666666,25.52776266472772,21.666666666666668,1.084821710235251,SARIMA,
DEBT COLLECTION,SC,60,,,,,258.90294892892206,16.090461426849203,11.921882355084966,1.0485154126915601,SARIMA,
DEBT COLLECTION,TN,60,,,,,132.8772382370353,11.527238968505655,10.175160573163181,0.6684810553147189,SARIMA,
DEBT COLLECTION,TX,60,,,,,36436.778312424256,190.88420131698763,135.52525630848598,2.166783194355938,SARIMA,
DEBT COLLECTION,VA,60,,,,,191.09477102286715,13.82370323114856,8.566333418964325,0.7596980031270065,SARIMA,
DEBT COLLECTION,WA,60,,,,,69.81501242394808,8.355537829723954,7.621296870534466,2.2979324677997153,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",CA,60,,,,,224.53489179542737,14.984488372828329,13.168714027029097,2.640485311279678,SARIMA,
